timestamp,operations,errors,l1_baseline,l2_baseline,l3_baseline,ram_baseline,efficiency,latency_ns
0,1,0,1000,0,499900,440000,9409,225650
0,101,0,991,0,499900,440000,9408,174600
0,201,0,991,0,499900,440000,9408,177890
0,301,0,991,0,499900,440000,9408,175801
0,401,0,997,0,499900,440000,9408,174990
0,501,0,1000,0,499900,440000,9409,174740
0,601,0,1000,0,499900,440000,9409,175660
0,701,0,1000,0,499900,440000,9409,175900
0,801,0,992,0,499900,440000,9408,175050
0,901,0,994,0,499900,440000,9408,179691
0,1001,0,998,0,499900,440000,9408,174680
0,1101,0,993,0,499900,440000,9408,174591
0,1201,0,994,0,499900,440000,9408,174300
0,1301,0,988,0,499900,440000,9408,174110
0,1401,0,991,0,499900,440000,9408,174170
0,1501,0,1000,0,499900,440000,9409,174800
0,1601,0,1000,0,499900,440000,9409,174051
0,1701,0,1000,0,499900,440000,9409,174120
0,1801,0,995,0,499900,440000,9408,174080
0,1901,0,995,0,499900,440000,9408,174141
0,2001,0,996,0,499900,440000,9408,175080
0,2101,0,1000,0,499900,440000,9409,175330
0,2201,0,992,0,499900,440000,9408,177120
0,2301,0,996,0,499900,440000,9408,175140
0,2401,0,990,0,499900,440000,9408,176261
0,2501,0,988,0,499900,440000,9408,174570
0,2601,0,1000,0,499900,440000,9409,175930
0,2701,0,1000,0,499900,440000,9409,175171
0,2801,0,995,0,499900,440000,9408,176280
0,2901,0,990,0,499900,440000,9408,174280
0,3001,0,996,0,499900,440000,9408,183351
0,3101,0,1000,0,499900,440000,9409,174370
0,3201,0,988,0,499900,440000,9408,174951
0,3301,0,994,0,499900,440000,9408,175160
0,3401,0,991,0,499900,440000,9408,174960
0,3501,0,990,0,499900,440000,9408,175011
0,3601,0,992,0,499900,440000,9408,175310
0,3701,0,1000,0,499900,440000,9409,174570
0,3801,0,991,0,499900,440000,9408,175650
0,3901,0,987,0,499900,440000,9408,175420
0,4001,0,998,0,499900,440000,9408,174171
0,4101,0,1000,0,499900,440000,9409,174970
0,4201,0,999,0,499900,440000,9408,174890
0,4301,0,996,0,499900,440000,9408,174321
0,4401,0,993,0,499900,440000,9408,174540
0,4501,0,990,0,499900,440000,9408,177250
0,4601,0,988,0,499900,440000,9408,174600
0,4701,0,1000,0,499900,440000,9409,197810
0,4801,0,1000,0,499900,440000,9409,175311
0,4901,0,997,0,499900,440000,9408,175100
0,5001,0,991,0,499900,440000,9408,175051
0,5101,0,989,0,499900,440000,9408,175080
0,5201,0,992,0,499900,440000,9408,174500
0,5301,0,991,0,499900,440000,9408,175071
0,5401,0,990,0,499900,440000,9408,175200
0,5501,0,992,0,499900,440000,9408,174471
0,5601,0,994,0,499900,440000,9408,177210
1,5701,0,990,0,499900,440000,9408,175261
1,5801,0,989,0,499900,440000,9408,177750
1,5901,0,993,0,499900,440000,9408,174390
1,6001,0,987,0,499900,440000,9408,174751
1,6101,0,990,0,499900,440000,9408,176420
1,6201,0,1000,0,499900,440000,9409,175350
1,6301,0,990,0,499900,440000,9408,175511
1,6401,0,993,0,499900,440000,9408,174710
1,6501,0,992,0,499900,440000,9408,174461
1,6601,0,995,0,499900,440000,9408,174700
1,6701,0,996,0,499900,440000,9408,174691
1,6801,0,997,0,499900,440000,9408,178910
1,6901,0,1000,0,499900,440000,9409,174741
1,7001,0,994,0,499900,440000,9408,174980
1,7101,0,993,0,499900,440000,9408,175071
1,7201,0,994,0,499900,440000,9408,175020
1,7301,0,991,0,499900,440000,9408,177351
1,7401,0,993,0,499900,440000,9408,175470
1,7501,0,994,0,499900,440000,9408,175691
1,7601,0,993,0,499900,440000,9408,174370
1,7701,0,990,0,499900,440000,9408,174891
1,7801,0,994,0,499900,440000,9408,175180
1,7901,0,994,0,499900,440000,9408,174831
1,8001,0,990,0,499900,440000,9408,178640
1,8101,0,990,0,499900,440000,9408,174960
1,8201,0,990,0,499900,440000,9408,175700
1,8301,0,1000,0,499900,440000,9409,175550
1,8401,0,998,0,499900,440000,9408,174880
1,8501,0,993,0,499900,440000,9408,177790
1,8601,0,989,0,499900,440000,9408,175650
1,8701,0,989,0,499900,440000,9408,174710
1,8801,0,993,0,499900,440000,9408,175380
1,8901,0,996,0,499900,440000,9408,174770
1,9001,0,987,0,499900,440000,9408,174451
1,9101,0,988,0,499900,440000,9408,175490
1,9201,0,991,0,499900,440000,9408,174531
1,9301,0,987,0,499900,440000,9408,174870
1,9401,0,970,0,499900,440000,9408,175001
1,9501,0,973,0,499900,440000,9408,177420
1,9601,0,966,0,499900,440000,9408,175691
1,9701,0,964,0,499900,440000,9408,174850
1,9801,0,955,0,499900,440000,9408,175630
1,9901,0,950,0,499900,440000,9408,174880
1,10001,0,946,0,499900,440000,9408,206331
1,10101,0,947,0,499900,440000,9408,189570
1,10201,0,946,0,499900,440000,9408,185810
1,10301,0,935,0,499900,440000,9408,175551
1,10401,0,914,0,499900,440000,9408,226570
1,10501,0,910,0,499900,440000,9408,178471
1,10601,0,918,0,499900,440000,9408,175220
1,10701,0,917,0,499900,440000,9408,174361
1,10801,0,921,0,499900,440000,9408,175140
1,10901,0,908,0,499900,440000,9408,176090
1,11001,0,892,0,499900,440000,9407,175690
1,11101,0,910,0,499900,440000,9408,175140
1,11201,0,904,0,499900,440000,9408,175560
1,11301,0,898,0,499900,440000,9407,175580
2,11401,0,884,0,499900,440000,9407,176490
2,11501,0,883,0,499900,440000,9407,175980
2,11601,0,875,0,499900,440000,9407,175921
2,11701,0,885,0,499900,440000,9407,174840
2,11801,0,890,0,499900,440000,9407,175740
2,11901,0,876,0,499900,440000,9407,178310
2,12001,0,877,0,499900,440000,9407,175231
2,12101,0,869,0,499900,440000,9407,175270
2,12201,0,854,0,499900,440000,9407,175051
2,12301,0,855,0,499900,440000,9407,175270
2,12401,0,857,0,499900,440000,9407,175631
2,12501,0,861,0,499900,440000,9407,175741
2,12601,0,855,0,499900,440000,9407,175910
2,12701,0,865,0,499900,440000,9407,176000
2,12801,0,860,0,499900,440000,9407,175270
2,12901,0,838,0,499900,440000,9407,175390
2,13001,0,838,0,499900,440000,9407,177670
2,13101,0,847,0,499900,440000,9407,176111
2,13201,0,843,0,499900,440000,9407,176130
2,13301,0,847,0,499900,440000,9407,175230
2,13401,0,832,0,499900,440000,9407,175440
2,13501,0,841,0,499900,440000,9407,177691
2,13601,0,838,0,499900,440000,9407,175670
2,13701,0,822,0,499900,440000,9407,176151
2,13801,0,837,0,499900,440000,9407,178790
2,13901,0,832,0,499900,440000,9407,175311
2,14001,0,822,0,499900,440000,9407,175970
2,14101,0,830,0,499900,440000,9407,175120
2,14201,0,820,0,499900,440000,9407,175820
2,14301,0,827,0,499900,440000,9407,176060
2,14401,0,822,0,499900,440000,9407,175740
2,14501,0,827,0,499900,440000,9407,175970
2,14601,0,825,0,499900,440000,9407,176360
2,14701,0,833,0,499900,440000,9407,175170
2,14801,0,838,0,499900,440000,9407,175160
2,14901,0,837,0,499900,440000,9407,175131
2,15001,0,837,0,499900,440000,9407,176060
2,15101,0,839,0,499900,440000,9407,178490
2,15201,0,851,0,499900,440000,9407,175130
2,15301,0,848,0,499900,440000,9407,175790
2,15401,0,845,0,499900,440000,9407,175010
2,15501,0,851,0,499900,440000,9407,175990
2,15601,0,856,0,499900,440000,9407,176650
2,15701,0,867,0,499900,440000,9407,175410
2,15801,0,858,0,499900,440000,9407,175170
2,15901,0,868,0,499900,440000,9407,175441
2,16001,0,870,0,499900,440000,9407,177750
2,16101,0,862,0,499900,440000,9407,175481
2,16201,0,866,0,499900,440000,9407,175150
2,16301,0,864,0,499900,440000,9407,176191
2,16401,0,879,0,499900,440000,9407,175830
2,16501,0,884,0,499900,440000,9407,177760
2,16601,0,888,0,499900,440000,9407,175270
2,16701,0,890,0,499900,440000,9407,175420
2,16801,0,891,0,499900,440000,9407,175390
2,16901,0,903,0,499900,440000,9408,179080
2,17001,0,908,0,499900,440000,9408,176030
3,17101,0,916,0,499900,440000,9408,176280
3,17201,0,906,0,499900,440000,9408,228711
3,17301,0,908,0,499900,440000,9408,176830
3,17401,0,921,0,499900,440000,9408,175711
3,17501,0,916,0,499900,440000,9408,178450
3,17601,0,907,0,499900,440000,9408,175900
3,17701,0,908,0,499900,440000,9408,175651
3,17801,0,913,0,499900,440000,9408,175310
3,17901,0,914,0,499900,440000,9408,175531
3,18001,0,910,0,499900,440000,9408,175970
3,18101,0,913,0,499900,440000,9408,178171
3,18201,0,916,0,499900,440000,9408,177160
3,18301,0,918,0,499900,440000,9408,177020
3,18401,0,917,0,499900,440000,9408,176681
3,18501,0,924,0,499900,440000,9408,176801
3,18601,0,924,0,499900,440000,9408,177770
3,18701,0,919,0,499900,440000,9408,177660
3,18801,0,922,0,499900,440000,9408,178720
3,18901,0,912,0,499900,440000,9408,177970
3,19001,0,925,0,499900,440000,9408,179090
3,19101,0,933,0,499900,440000,9408,176210
3,19201,0,934,0,499900,440000,9408,175921
3,19301,0,932,0,499900,440000,9408,175580
3,19401,0,929,0,499900,440000,9408,176331
3,19501,0,933,0,499900,440000,9408,175330
3,19601,0,931,0,499900,440000,9408,177421
3,19701,0,940,0,499900,440000,9408,176570
3,19801,0,941,0,499900,440000,9408,176160
3,19901,0,946,0,499900,440000,9408,177260
3,20001,0,939,0,499900,440000,9408,175590
3,20101,0,940,0,499900,440000,9408,175350
3,20201,0,939,0,499900,440000,9408,175260
3,20301,0,935,0,499900,440000,9408,175220
3,20401,0,943,0,499900,440000,9408,176251
3,20501,0,936,0,499900,440000,9408,176550
3,20601,0,937,0,499900,440000,9408,178750
3,20701,0,927,0,499900,440000,9408,176600
3,20801,0,930,0,499900,440000,9408,177911
3,20901,0,946,0,499900,440000,9408,175480
3,21001,0,938,0,499900,440000,9408,176191
3,21101,0,938,0,499900,440000,9408,176260
3,21201,0,934,0,499900,440000,9408,176181
3,21301,0,936,0,499900,440000,9408,176440
3,21401,0,939,0,499900,440000,9408,175351
3,21501,0,942,0,499900,440000,9408,176820
3,21601,0,959,0,499900,440000,9408,175471
3,21701,0,963,0,499900,440000,9408,176570
3,21801,0,962,0,499900,440000,9408,177710
3,21901,0,967,0,499900,440000,9408,176290
3,22001,0,981,0,499900,440000,9408,176920
3,22101,0,985,0,499900,440000,9408,179681
3,22201,0,993,0,499900,440000,9408,175070
3,22301,0,991,0,499900,440000,9408,175321
3,22401,0,994,0,499900,440000,9408,176430
3,22501,0,996,0,499900,440000,9408,175680
3,22601,0,992,0,499900,440000,9408,176680
4,22701,0,992,0,499900,440000,9408,175820
4,22801,0,992,0,499900,440000,9408,175390
4,22901,0,992,0,499900,440000,9408,178171
4,23001,0,992,0,499900,440000,9408,174500
4,23101,0,991,0,499900,440000,9408,175851
4,23201,0,993,0,499900,440000,9408,175800
4,23301,0,991,0,499900,440000,9408,175151
4,23401,0,989,0,499900,440000,9408,176070
4,23501,0,992,0,499900,440000,9408,175610
4,23601,0,993,0,499900,440000,9408,176510
4,23701,0,990,0,499900,440000,9408,175380
4,23801,0,992,0,499900,440000,9408,175351
4,23901,0,992,0,499900,440000,9408,175510
4,24001,0,996,0,499900,440000,9408,175490
4,24101,0,991,0,499900,440000,9408,177771
4,24201,0,989,0,499900,440000,9408,175420
4,24301,0,993,0,499900,440000,9408,174911
4,24401,0,1000,0,499900,440000,9409,175460
4,24501,0,993,0,499900,440000,9408,175590
4,24601,0,993,0,499900,440000,9408,175321
4,24701,0,988,0,499900,440000,9408,175690
4,24801,0,994,0,499900,440000,9408,177061
4,24901,0,989,0,499900,440000,9408,175410
4,25001,0,990,0,499900,440000,9408,175630
4,25101,0,994,0,499900,440000,9408,175601
4,25201,0,994,0,499900,440000,9408,175240
4,25301,0,994,0,499900,440000,9408,174750
4,25401,0,992,0,499900,440000,9408,175520
4,25501,0,992,0,499900,440000,9408,178200
4,25601,0,994,0,499900,440000,9408,174701
4,25701,0,989,0,499900,440000,9408,176100
4,25801,0,993,0,499900,440000,9408,174650
4,25901,0,994,0,499900,440000,9408,175501
4,26001,0,990,0,499900,440000,9408,175100
4,26101,0,990,0,499900,440000,9408,174890
4,26201,0,994,0,499900,440000,9408,175511
4,26301,0,990,0,499900,440000,9408,175520
4,26401,0,992,0,499900,440000,9408,176991
4,26501,0,1000,0,499900,440000,9409,174510
4,26601,0,999,0,499900,440000,9408,175410
4,26701,0,994,0,499900,440000,9408,175340
4,26801,0,991,0,499900,440000,9408,175101
4,26901,0,996,0,499900,440000,9408,175620
4,27001,0,992,0,499900,440000,9408,174721
4,27101,0,991,0,499900,440000,9408,175421
4,27201,0,992,0,499900,440000,9408,175430
4,27301,0,989,0,499900,440000,9408,176101
4,27401,0,993,0,499900,440000,9408,174990
4,27501,0,1000,0,499900,440000,9409,176700
4,27601,0,1000,0,499900,440000,9409,174641
4,27701,0,991,0,499900,440000,9408,174730
4,27801,0,988,0,499900,440000,9408,174620
4,27901,0,990,0,499900,440000,9408,174881
4,28001,0,1000,0,499900,440000,9409,175350
4,28101,0,993,0,499900,440000,9408,175551
4,28201,0,993,0,499900,440000,9408,177540
4,28301,0,993,0,499900,440000,9408,175300
5,28401,0,993,0,499900,440000,9408,174680
5,28501,0,993,0,499900,440000,9408,175030
5,28601,0,1000,0,499900,440000,9409,174611
5,28701,0,1000,0,499900,440000,9409,176400
5,28801,0,991,0,499900,440000,9408,174750
5,28901,0,992,0,499900,440000,9408,176481
5,29001,0,1000,0,499900,440000,9409,175380
5,29101,0,1000,0,499900,440000,9409,174720
5,29201,0,993,0,499900,440000,9408,174771
5,29301,0,993,0,499900,440000,9408,174720
5,29401,0,992,0,499900,440000,9408,175490
5,29501,0,993,0,499900,440000,9408,174661
5,29601,0,1000,0,499900,440000,9409,176300
5,29701,0,1000,0,499900,440000,9409,175170
5,29801,0,1000,0,499900,440000,9409,176761
5,29901,0,993,0,499900,440000,9408,174660
5,30001,0,1000,0,499900,440000,9409,175370
5,30101,0,1000,0,499900,440000,9409,174461
5,30201,0,994,0,499900,440000,9408,174571
5,30301,0,992,0,499900,440000,9408,175700
5,30401,0,993,0,499900,440000,9408,174771
5,30501,0,992,0,499900,440000,9408,174611
5,30601,0,1000,0,499900,440000,9409,174560
5,30701,0,1000,0,499900,440000,9409,174701
5,30801,0,1000,0,499900,440000,9409,175521
5,30901,0,993,0,499900,440000,9408,176600
5,31001,0,1000,0,499900,440000,9409,174570
5,31101,0,1000,0,499900,440000,9409,177421
5,31201,0,1000,0,499900,440000,9409,175420
5,31301,0,993,0,499900,440000,9408,175420
5,31401,0,992,0,499900,440000,9408,175221
5,31501,0,993,0,499900,440000,9408,175350
5,31601,0,999,0,499900,440000,9408,174640
5,31701,0,1000,0,499900,440000,9409,174721
5,31801,0,1000,0,499900,440000,9409,177190
5,31901,0,1000,0,499900,440000,9409,175300
5,32001,0,1000,0,499900,440000,9409,178170
5,32101,0,1000,0,499900,440000,9409,175320
5,32201,0,1000,0,499900,440000,9409,175480
5,32301,0,1000,0,499900,440000,9409,175180
5,32401,0,990,0,499900,440000,9408,175460
5,32501,0,991,0,499900,440000,9408,175460
5,32601,0,989,0,499900,440000,9408,175400
5,32701,0,1000,0,499900,440000,9409,175661
5,32801,0,1000,0,499900,440000,9409,175210
5,32901,0,998,0,499900,440000,9408,181370
5,33001,0,998,0,499900,440000,9408,174581
5,33101,0,1000,0,499900,440000,9409,177330
5,33201,0,1000,0,499900,440000,9409,175390
5,33301,0,1000,0,499900,440000,9409,174701
5,33401,0,1000,0,499900,440000,9409,175360
5,33501,0,993,0,499900,440000,9408,175300
5,33601,0,996,0,499900,440000,9408,175371
5,33701,0,1000,0,499900,440000,9409,174070
5,33801,0,1000,0,499900,440000,9409,177420
5,33901,0,996,0,499900,440000,9408,174581
5,34001,0,987,0,499900,440000,9408,176800
6,34101,0,1000,0,499900,440000,9409,174640
6,34201,0,1000,0,499900,440000,9409,175300
6,34301,0,1000,0,499900,440000,9409,174481
6,34401,0,1000,0,499900,440000,9409,174690
6,34501,0,991,0,499900,440000,9408,174720
6,34601,0,991,0,499900,440000,9408,174641
6,34701,0,993,0,499900,440000,9408,174520
6,34801,0,1000,0,499900,440000,9409,174830
6,34901,0,1000,0,499900,440000,9409,175471
6,35001,0,992,0,499900,440000,9408,175290
6,35101,0,1000,0,499900,440000,9409,176320
6,35201,0,1000,0,499900,440000,9409,175301
6,35301,0,1000,0,499900,440000,9409,175781
6,35401,0,1000,0,499900,440000,9409,175220
6,35501,0,1000,0,499900,440000,9409,175450
6,35601,0,993,0,499900,440000,9408,175241
6,35701,0,999,0,499900,440000,9408,174600
6,35801,0,1000,0,499900,440000,9409,175360
6,35901,0,1000,0,499900,440000,9409,174821
6,36001,0,993,0,499900,440000,9408,174521
6,36101,0,992,0,499900,440000,9408,175300
6,36201,0,1000,0,499900,440000,9409,174640
6,36301,0,1000,0,499900,440000,9409,175321
6,36401,0,1000,0,499900,440000,9409,176720
6,36501,0,1000,0,499900,440000,9409,174800
6,36601,0,996,0,499900,440000,9408,176520
6,36701,0,993,0,499900,440000,9408,175591
6,36801,0,999,0,499900,440000,9408,175820
6,36901,0,1000,0,499900,440000,9409,175290
6,37001,0,1000,0,499900,440000,9409,174410
6,37101,0,1000,0,499900,440000,9409,174521
6,37201,0,1000,0,499900,440000,9409,175170
6,37301,0,1000,0,499900,440000,9409,175230
6,37401,0,1000,0,499900,440000,9409,174511
6,37501,0,1000,0,499900,440000,9409,175461
6,37601,0,1000,0,499900,440000,9409,174550
6,37701,0,1000,0,499900,440000,9409,176580
6,37801,0,1000,0,499900,440000,9409,175411
6,37901,0,1000,0,499900,440000,9409,176060
6,38001,0,1000,0,499900,440000,9409,175330
6,38101,0,989,0,499900,440000,9408,174910
6,38201,0,996,0,499900,440000,9408,174680
6,38301,0,1000,0,499900,440000,9409,174500
6,38401,0,1000,0,499900,440000,9409,175120
6,38501,0,1000,0,499900,440000,9409,175411
6,38601,0,1000,0,499900,440000,9409,174400
6,38701,0,1000,0,499900,440000,9409,174620
6,38801,0,990,0,499900,440000,9408,175270
6,38901,0,1000,0,499900,440000,9409,174551
6,39001,0,1000,0,499900,440000,9409,177330
6,39101,0,1000,0,499900,440000,9409,175240
6,39201,0,1000,0,499900,440000,9409,177881
6,39301,0,1000,0,499900,440000,9409,175380
6,39401,0,1000,0,499900,440000,9409,174540
6,39501,0,1000,0,499900,440000,9409,174551
6,39601,0,1000,0,499900,440000,9409,174640
6,39701,0,1000,0,499900,440000,9409,174560
7,39801,0,1000,0,499900,440000,9409,175390
7,39901,0,1000,0,499900,440000,9409,178221
7,40001,0,1000,0,499900,440000,9409,174700
7,40101,0,1000,0,499900,440000,9409,177860
7,40201,0,993,0,499900,440000,9408,174581
7,40301,0,1000,0,499900,440000,9409,175340
7,40401,0,1000,0,499900,440000,9409,174520
7,40501,0,1000,0,499900,440000,9409,175301
7,40601,0,1000,0,499900,440000,9409,174151
7,40701,0,1000,0,499900,440000,9409,175250
7,40801,0,986,0,499900,440000,9408,176630
7,40901,0,978,0,499900,440000,9408,175711
7,41001,0,972,0,499900,440000,9408,176580
7,41101,0,964,0,499900,440000,9408,174740
7,41201,0,959,0,499900,440000,9408,174751
7,41301,0,954,0,499900,440000,9408,174960
7,41401,0,958,0,499900,440000,9408,175590
7,41501,0,947,0,499900,440000,9408,174961
7,41601,0,945,0,499900,440000,9408,175730
7,41701,0,945,0,499900,440000,9408,176090
7,41801,0,938,0,499900,440000,9408,174811
7,41901,0,927,0,499900,440000,9408,174860
7,42001,0,924,0,499900,440000,9408,175710
7,42101,0,916,0,499900,440000,9408,175651
7,42201,0,918,0,499900,440000,9408,175060
7,42301,0,906,0,499900,440000,9408,175300
